GeneID,Symbol,Description,GeneType,score,abs_score
3050,HBZ,hemoglobin subunit zeta,protein-coding,-9.257055727097288,9.257055727097288
728358,DEFA1B,defensin alpha 1B,protein-coding,-3.0661916819433297,3.0661916819433297
1667,DEFA1,defensin alpha 1,protein-coding,-3.0289122450556207,3.0289122450556207
1668,DEFA3,defensin alpha 3,protein-coding,-2.819289075775143,2.819289075775143
3120,HLA-DQB2,"major histocompatibility complex, class II, DQ beta 2",protein-coding,-2.7117117228942003,2.7117117228942003
3118,HLA-DQA2,"major histocompatibility complex, class II, DQ alpha 2",protein-coding,-2.5734520098665956,2.5734520098665956
3047,HBG1,hemoglobin subunit gamma 1,protein-coding,-2.3908321661037504,2.3908321661037504
81796,SLCO5A1,solute carrier organic anion transporter family member 5A1,protein-coding,-2.163320804680485,2.163320804680485
3048,HBG2,hemoglobin subunit gamma 2,protein-coding,-2.0243725041562133,2.0243725041562133
388588,SMIM1,small integral membrane protein 1 (Vel blood group),protein-coding,-1.9645017705291858,1.9645017705291858
9636,ISG15,ISG15 ubiquitin like modifier,protein-coding,-1.9147632515513069,1.9147632515513069
100128071,FAM229A,family with sequence similarity 229 member A,protein-coding,-1.8661681733156268,1.8661681733156268
1669,DEFA4,defensin alpha 4,protein-coding,-1.8354774250684567,1.8354774250684567
6286,S100P,S100 calcium binding protein P,protein-coding,-1.8343884737111102,1.8343884737111102
10038,PARP2,poly(ADP-ribose) polymerase 2,protein-coding,-1.8315332346292992,1.8315332346292992
5266,PI3,peptidase inhibitor 3,protein-coding,-1.7712311071204054,1.7712311071204054
2537,IFI6,interferon alpha inducible protein 6,protein-coding,-1.735107050363791,1.735107050363791
4057,LTF,lactotransferrin,protein-coding,-1.7201715276328116,1.7201715276328116
4509,ATP8,ATP synthase F0 subunit 8,protein-coding,1.6703050728958095,1.6703050728958095
9997,SCO2,synthesis of cytochrome C oxidase 2,protein-coding,-1.6504109665753195,1.6504109665753195
4539,ND4L,NADH dehydrogenase subunit 4L,protein-coding,1.639734399729716,1.639734399729716
925,CD8A,CD8a molecule,protein-coding,1.5539544411213972,1.5539544411213972
57535,ELAPOR1,endosome-lysosome associated apoptosis and autophagy regulator 1,protein-coding,-1.5192405935715134,1.5192405935715134
4540,ND5,NADH dehydrogenase subunit 5,protein-coding,1.4756976239159365,1.4756976239159365
6231,RPS26,ribosomal protein S26,protein-coding,-1.459684441061212,1.459684441061212
