GeneID,Symbol,Description,GeneType,score,abs_score
3050,HBZ,hemoglobin subunit zeta,protein-coding,-9.484051400594574,9.484051400594574
6192,RPS4Y1,ribosomal protein S4 Y-linked 1,protein-coding,-5.100265676196496,5.100265676196496
3046,HBE1,hemoglobin subunit epsilon 1,protein-coding,2.8589130619756657,2.8589130619756657
83888,FGFBP2,fibroblast growth factor binding protein 2,protein-coding,-2.6488603740038292,2.6488603740038292
100423062,IGLL5,immunoglobulin lambda like polypeptide 5,protein-coding,-2.585701947907848,2.585701947907848
931,MS4A1,membrane spanning 4-domains A1,protein-coding,-2.4464850242452036,2.4464850242452036
23753,SDF2L1,stromal cell derived factor 2 like 1,protein-coding,-2.3842019422138705,2.3842019422138705
5730,PTGDS,prostaglandin D2 synthase,protein-coding,-2.377063318558848,2.377063318558848
51237,MZB1,marginal zone B and B1 cell specific protein,protein-coding,-2.3520159449377105,2.3520159449377105
22921,MSRB2,methionine sulfoxide reductase B2,protein-coding,-2.3465412474512837,2.3465412474512837
57126,CD177,CD177 molecule,protein-coding,2.2021218413001464,2.2021218413001464
1521,CTSW,cathepsin W,protein-coding,-2.128696773126005,2.128696773126005
3119,HLA-DQB1,"major histocompatibility complex, class II, DQ beta 1",protein-coding,-2.075390214585948,2.075390214585948
3094,HINT1,histidine triad nucleotide binding protein 1,protein-coding,-2.073190393983168,2.073190393983168
6795,AURKC,aurora kinase C,protein-coding,2.026512021273671,2.026512021273671
51264,MRPL27,mitochondrial ribosomal protein L27,protein-coding,-2.0180274466412147,2.0180274466412147
9403,SELENOF,selenoprotein F,protein-coding,-1.9994631161784966,1.9994631161784966
383,ARG1,arginase 1,protein-coding,1.9929622683490043,1.9929622683490043
3127,HLA-DRB5,"major histocompatibility complex, class II, DR beta 5",protein-coding,-1.9795815401541816,1.9795815401541816
56984,PSMG2,proteasome assembly chaperone 2,protein-coding,-1.9597455989744306,1.9597455989744306
3512,JCHAIN,joining chain of multimeric IgA and IgM,protein-coding,-1.9347665826891671,1.9347665826891671
2999,GZMH,granzyme H,protein-coding,-1.9326069928536558,1.9326069928536558
509,ATP5F1C,ATP synthase F1 subunit gamma,protein-coding,-1.9171677048926605,1.9171677048926605
5819,NECTIN2,nectin cell adhesion molecule 2,protein-coding,1.891850997976945,1.891850997976945
5693,PSMB5,proteasome 20S subunit beta 5,protein-coding,-1.859815003260109,1.859815003260109
343413,FCRL6,Fc receptor like 6,protein-coding,-1.849193609662403,1.849193609662403
722,C4BPA,complement component 4 binding protein alpha,protein-coding,1.8431692556875845,1.8431692556875845
6726,SRP9,signal recognition particle 9,protein-coding,-1.8267889332916463,1.8267889332916463
971,CD72,CD72 molecule,protein-coding,-1.808849652532193,1.808849652532193
3117,HLA-DQA1,"major histocompatibility complex, class II, DQ alpha 1",protein-coding,-1.799525680481226,1.799525680481226
3957,LGALS2,galectin 2,protein-coding,-1.7810354690845969,1.7810354690845969
930,CD19,CD19 molecule,protein-coding,-1.7596242858626658,1.7596242858626658
973,CD79A,CD79a molecule,protein-coding,-1.7506155986958105,1.7506155986958105
10576,CCT2,chaperonin containing TCP1 subunit 2,protein-coding,-1.7452993009131132,1.7452993009131132
10417,SPON2,spondin 2,protein-coding,-1.7432013616217845,1.7432013616217845
8115,TCL1A,TCL1 family AKT coactivator A,protein-coding,-1.7392405626280183,1.7392405626280183
522,ATP5PF,ATP synthase peripheral stalk subunit F6,protein-coding,-1.7045631352136983,1.7045631352136983
7580,ZNF32,zinc finger protein 32,protein-coding,-1.681455468214586,1.681455468214586
8669,EIF3J,eukaryotic translation initiation factor 3 subunit J,protein-coding,-1.6775307930074421,1.6775307930074421
84987,COX14,cytochrome c oxidase assembly factor COX14,protein-coding,-1.6763366954978638,1.6763366954978638
339231,ARL16,ADP ribosylation factor like GTPase 16,protein-coding,-1.6634548471089545,1.6634548471089545
140606,SELENOM,selenoprotein M,protein-coding,-1.6586441637632583,1.6586441637632583
58505,OSTC,oligosaccharyltransferase complex non-catalytic subunit,protein-coding,-1.6520214927279178,1.6520214927279178
27257,LSM1,"LSM1 homolog, mRNA degradation associated",protein-coding,-1.6501428478087226,1.6501428478087226
5440,POLR2K,"RNA polymerase II, I and III subunit K",protein-coding,-1.6460115682963181,1.6460115682963181
51239,ANKRD39,ankyrin repeat domain 39,protein-coding,-1.6453173805378103,1.6453173805378103
6451,SH3BGRL,SH3 domain binding glutamate rich protein like,protein-coding,-1.6114307219918091,1.6114307219918091
2205,FCER1A,Fc epsilon receptor Ia,protein-coding,-1.6008197361534002,1.6008197361534002
116071,BATF2,basic leucine zipper ATF-like transcription factor 2,protein-coding,-1.586450796582965,1.586450796582965
51236,HGH1,HGH1 homolog,protein-coding,-1.5732894782157665,1.5732894782157665
6348,CCL3,C-C motif chemokine ligand 3,protein-coding,-1.5731577073039549,1.5731577073039549
22914,KLRK1,killer cell lectin like receptor K1,protein-coding,-1.5696163474069458,1.5696163474069458
92259,MRPS36,mitochondrial ribosomal protein S36,protein-coding,-1.5620239254639396,1.5620239254639396
56655,POLE4,"DNA polymerase epsilon 4, accessory subunit",protein-coding,-1.5567586283128754,1.5567586283128754
257101,ZNF683,zinc finger protein 683,protein-coding,-1.549399018142815,1.549399018142815
4697,NDUFA4,NDUFA4 mitochondrial complex associated,protein-coding,-1.535358924419974,1.535358924419974
55352,COPRS,coordinator of PRMT5 and differentiation stimulator,protein-coding,-1.5270672674523456,1.5270672674523456
10462,CLEC10A,C-type lectin domain containing 10A,protein-coding,-1.5261713570545885,1.5261713570545885
64983,MRPL32,mitochondrial ribosomal protein L32,protein-coding,-1.524324222458814,1.524324222458814
100528032,KLRC4-KLRK1,KLRC4-KLRK1 readthrough,protein-coding,-1.5220447309686334,1.5220447309686334
6129,RPL7,ribosomal protein L7,protein-coding,-1.5030345464279469,1.5030345464279469
55020,TTC38,tetratricopeptide repeat domain 38,protein-coding,-1.4991011581582505,1.4991011581582505
203069,R3HCC1,R3H domain and coiled-coil containing 1,protein-coding,-1.4975017784869344,1.4975017784869344
84833,ATP5MK,ATP synthase membrane subunit k,protein-coding,-1.4948031033381604,1.4948031033381604
51668,HSPB11,heat shock protein family B (small) member 11,protein-coding,-1.4720122824965338,1.4720122824965338
26157,GIMAP2,"GTPase, IMAP family member 2",protein-coding,-1.4642638833314743,1.4642638833314743
2537,IFI6,interferon alpha inducible protein 6,protein-coding,-1.4590459642337577,1.4590459642337577
57823,SLAMF7,SLAM family member 7,protein-coding,-1.4585566428451582,1.4585566428451582
4869,NPM1,nucleophosmin 1,protein-coding,-1.4571846251493394,1.4571846251493394
10549,PRDX4,peroxiredoxin 4,protein-coding,-1.4566841269161745,1.4566841269161745
55013,MCUB,mitochondrial calcium uniporter dominant negative subunit beta,protein-coding,-1.453720610974826,1.453720610974826
2633,GBP1,guanylate binding protein 1,protein-coding,-1.4503443680147965,1.4503443680147965
6222,RPS18,ribosomal protein S18,protein-coding,-1.4485855259764202,1.4485855259764202
64949,MRPS26,mitochondrial ribosomal protein S26,protein-coding,-1.445792590635178,1.445792590635178
51119,SBDS,SBDS ribosome maturation factor,protein-coding,-1.443916756325228,1.443916756325228
55629,PNRC2,proline rich nuclear receptor coactivator 2,protein-coding,-1.4398670873656216,1.4398670873656216
719,C3AR1,complement C3a receptor 1,protein-coding,-1.4394612054406428,1.4394612054406428
1020,CDK5,cyclin dependent kinase 5,protein-coding,-1.4383120633783162,1.4383120633783162
6689,SPIB,Spi-B transcription factor,protein-coding,-1.4200861206127784,1.4200861206127784
3251,HPRT1,hypoxanthine phosphoribosyltransferase 1,protein-coding,-1.417130893179173,1.417130893179173
1292,COL6A2,collagen type VI alpha 2 chain,protein-coding,-1.4051710694347113,1.4051710694347113
9415,FADS2,fatty acid desaturase 2,protein-coding,-1.404481798275375,1.404481798275375
23412,COMMD3,COMM domain containing 3,protein-coding,-1.403996510092542,1.403996510092542
51154,MRTO4,"MRT4 homolog, ribosome maturation factor",protein-coding,-1.3973011732225311,1.3973011732225311
3001,GZMA,granzyme A,protein-coding,-1.393767767971913,1.393767767971913
