Gene,Difference,Cluster0Mean,Cluster1Mean,AbsDiff
HBA2,86555.77132486386,308801.0344827586,222245.26315789475,86555.77132486386
HBA1,85631.6152450091,289377.9310344828,203746.31578947368,85631.6152450091
HBB,19576.31578947368,254400.0,234823.68421052632,19576.31578947368
HBD,2448.622504537205,22512.01724137931,20063.394736842107,2448.622504537205
HBQ1,425.9126869328492,1356.260344827586,930.3476578947368,425.9126869328492
FKBP8,241.1894736842106,1154.55,913.3605263157892,241.1894736842106
HBM,70.73751361161533,194.7667241379311,124.02921052631578,70.73751361161533
RPLP2,67.96814882032675,1082.7655172413797,1014.7973684210529,67.96814882032675
RPS15,64.31088929219601,384.1293103448275,319.8184210526315,64.31088929219601
NKG7,55.850190562613335,264.7041379310344,208.85394736842105,55.850190562613335
GNLY,52.03058983666048,289.8713793103447,237.84078947368425,52.03058983666048
SLC25A39,43.952350272232366,233.2360344827587,189.28368421052636,43.952350272232366
ALAS2,43.35005444646103,134.30189655172418,90.95184210526315,43.35005444646103
HBG1,36.62372141560792,420.9018793103448,384.27815789473686,36.62372141560792
RPL18A,34.101270417422825,726.7275862068965,692.6263157894737,34.101270417422825
RPL18,29.03702359346653,597.0896551724138,568.0526315789473,29.03702359346653
PPDPF,28.798847549909283,101.48568965517244,72.68684210526315,28.798847549909283
GUK1,22.538856624319536,141.91017241379316,119.37131578947364,22.538856624319536
NRGN,20.26364791288572,152.4920689655173,132.22842105263155,20.26364791288572
HBE1,19.512414210526305,56.69634999999999,37.183935789473686,19.512414210526305
PTPRCAP,17.929283121597102,71.90086206896552,53.97157894736842,17.929283121597102
TSPO,17.275362976406583,128.3343103448276,111.05894736842102,17.275362976406583
GPX1,16.304664246823933,149.65413793103446,133.34947368421052,16.304664246823933
RPLP1,15.265880217785934,463.5948275862069,448.328947368421,15.265880217785934
RPL28,15.105544464609792,128.04896551724138,112.9434210526316,15.105544464609792
RPS28,14.980399274047244,165.0422413793104,150.06184210526317,14.980399274047244
IL32,14.934546279491856,138.53586206896554,123.60131578947367,14.934546279491856
CTSW,13.654329401088916,86.08672413793103,72.43239473684211,13.654329401088916
NOP53,12.572531760435568,129.83068965517242,117.25815789473684,12.572531760435568
CFD,12.257635208711434,74.84879310344827,62.59115789473684,12.257635208711434
UBXN6,11.846125226860252,69.10086206896551,57.25473684210526,11.846125226860252
BLVRB,11.750272232304908,94.01448275862067,82.26421052631578,11.750272232304908
BSG,10.32316696914701,111.71948275862071,101.3963157894737,10.32316696914701
HCST,10.163629764065334,80.86310344827587,70.69947368421053,10.163629764065334
GZMM,10.140462794918315,34.54762068965516,24.407157894736844,10.140462794918315
CCL5,9.96850272232308,175.97534482758624,166.00684210526316,9.96850272232308
MT2A,9.891678765880194,56.24931034482756,46.35763157894737,9.891678765880194
CRIP1,9.557459165154285,138.42982758620693,128.87236842105264,9.557459165154285
LIME1,9.352398366606163,38.628793103448274,29.27639473684211,9.352398366606163
BBLN,9.343348457350274,44.24413793103447,34.9007894736842,9.343348457350274
GP1BB,9.172538112522682,22.31982758620689,13.147289473684207,9.172538112522682
PRF1,9.092809437386592,62.368862068965534,53.27605263157894,9.092809437386592
RPL13,8.947767695099799,150.85724137931032,141.90947368421052,8.947767695099799
ATP6V0C,8.44893829401093,99.09051724137932,90.6415789473684,8.44893829401093
ARHGDIA,8.372350272232282,78.9660344827586,70.59368421052632,8.372350272232282
ATP5F1D,8.143240471869333,32.84379310344828,24.700552631578944,8.143240471869333
MIF,8.11684210526316,30.3215,22.20465789473684,8.11684210526316
S1PR4,7.960163339382902,111.68068965517236,103.72052631578948,7.960163339382902
HBZ,7.386798548094362,720.4306327586207,713.0438342105264,7.386798548094362
PAXX,7.381542649727747,44.39706896551724,37.01552631578949,7.381542649727747
GSTP1,7.086869328493691,139.8334482758621,132.74657894736842,7.086869328493691
PDZK1IP1,7.062302177858427,42.19877586206895,35.13647368421052,7.062302177858427
PSMB10,6.949473684210531,109.57000000000002,102.62052631578948,6.949473684210531
APRT,6.655390199637019,58.90275862068965,52.24736842105264,6.655390199637019
PTGDS,6.548318511796744,29.180844827586217,22.632526315789477,6.548318511796744
SIGIRR,6.283528130671506,40.86589655172413,34.58236842105263,6.283528130671506
H1-10,6.104563520871146,30.773879310344828,24.66931578947368,6.104563520871146
MZT2B,5.975641560798547,27.20193103448276,21.22628947368421,5.975641560798547
RABAC1,5.842017241379317,44.642017241379314,38.8,5.842017241379317
CCDC85B,5.311655626134304,14.203379310344827,8.891723684210525,5.311655626134304
COX8A,5.222223230490016,90.20327586206896,84.98105263157895,5.222223230490016
SF3A2,5.213373865698731,31.974689655172416,26.761315789473684,5.213373865698731
CYBA,5.177558983666017,133.44413793103442,128.2665789473684,5.177558983666017
SHARPIN,4.920925589836671,30.682241379310355,25.761315789473684,4.920925589836671
CDC34,4.878693284936471,34.65448275862068,29.77578947368421,4.878693284936471
LY6E,4.779664246823955,146.57913793103447,141.7994736842105,4.779664246823955
BCL2L1,4.314392014519051,41.9196551724138,37.60526315789475,4.314392014519051
HLA-DRB5,4.268956442831211,91.02948275862067,86.76052631578948,4.268956442831211
COPE,4.225272232304903,91.2894827586207,87.06421052631579,4.225272232304903
SCO2,4.055711433756798,35.023448275862066,30.967736842105268,4.055711433756798
SPON2,4.017497277676949,17.18665517241379,13.16915789473684,4.017497277676949
NDUFS8,3.8962522686025416,26.096620689655172,22.200368421052637,3.8962522686025416
MRPL41,3.8462350272232255,24.931103448275856,21.08486842105263,3.8462350272232255
CORO1B,3.78312794918331,25.035206896551724,21.25207894736841,3.78312794918331
LGALS1,3.7488566243193873,157.05017241379306,153.30131578947368,3.7488566243193873
CD7,3.696059891107076,17.41308620689655,13.717026315789475,3.696059891107076
DMTN,3.644452813067158,31.42918965517242,27.78473684210526,3.644452813067158
RBM38,3.6175045372050825,31.76724137931034,28.14973684210526,3.6175045372050825
SAP25,3.607134301270434,61.471344827586215,57.86421052631578,3.607134301270434
REX1BD,3.5526270417422907,16.163758620689656,12.611131578947363,3.5526270417422907
TMEM160,3.5459896551724155,8.283189655172414,4.737199999999999,3.5459896551724155
POLR2L,3.523140653357533,27.874982758620693,24.35184210526316,3.523140653357533
RPS19,3.515381125226895,138.11827586206897,134.60289473684207,3.515381125226895
TESC,3.5017967332123447,36.04258620689655,32.54078947368421,3.5017967332123447
SCAND1,3.47088021778584,14.232827586206891,10.761947368421051,3.47088021778584
SELENBP1,3.4511642468239607,14.637137931034488,11.185973684210529,3.4511642468239607
DOK2,3.401905626134301,50.04137931034483,46.63947368421053,3.401905626134301
FBXW5,3.360766787658804,28.16129310344828,24.80052631578948,3.360766787658804
HSPB1,3.3083030852994426,32.286724137931024,28.97842105263158,3.3083030852994426
SMIM1,3.183083575317606,7.952086206896552,4.769002631578946,3.183083575317606
GP9,3.1706542649727814,10.543206896551728,7.372552631578945,3.1706542649727814
FAM174C,3.132835753176044,17.49536206896552,14.362526315789475,3.132835753176044
VPS51,3.0843611615245017,24.740413793103446,21.656052631578945,3.0843611615245017
DPP7,3.066311252268605,31.825258620689656,28.75894736842105,3.066311252268605
NPRL3,3.044245916515422,20.46948275862069,17.425236842105264,3.044245916515422
CLIC3,3.0227642468239546,8.29723793103448,5.274473684210526,3.0227642468239546
MCRIP1,2.9623793103448293,24.84237931034483,21.88,2.9623793103448293
CCDC124,2.913769509981845,15.717637931034478,12.803868421052632,2.913769509981845
PF4,2.7826860254083456,49.10889655172414,46.3262105263158,2.7826860254083456
GZMH,2.754133393829399,39.16539655172414,36.41126315789474,2.754133393829399
