drug_name,genes_targeted
CYCLOHEXIMIDE,31
EXALUREN,31
ATALUREN,31
DORLIMOMAB ARITOX,31
MT-3724,31
METHOTREXATE,5
FLOXACILLIN,4
CLAVULANIC ACID,4
AMOXICILLIN ANHYDROUS,4
DOXORUBICIN HYDROCHLORIDE,3
LAPATINIB,3
RIBAVIRIN,3
INFLIXIMAB-DYYB,3
PEGINTERFERON ALFA-2B,3
TETRADECANOYLPHORBOL ACETATE,3
TICLOPIDINE,3
CLINDAMYCIN,2
DAPSONE,2
ETANERCEPT-SZZS,2
CARBAMAZEPINE,2
IPILIMUMAB,2
LADARIXIN,2
CANOCTAKIN,2
METHAZOLAMIDE,2
METHIMAZOLE,2
HIV-TAT,2
CYCLOPHOSPHAMIDE ANHYDROUS,2
NAVARIXIN,2
NIVOLUMAB,2
PEGINTERFERON ALFA-2A,2
HEPARIN,2
PEMBROLIZUMAB,2
PENICILLIN G POTASSIUM,2
REPARIXIN,2
"IBUPROFEN, SODIUM SALT",2
SULFAMETHOXAZOLE / TRIMETHOPRIM,2
SX-682,2
DIMETHYL SULFOXIDE,2
THALIDOMIDE,2
CLOZAPINE,2
GELDANAMYCIN,2
TOFACITINIB,2
ALDESLEUKIN,2
AMIKACIN,2
THERAPEUTIC ANDROGEN,2
AT-9283,1
ATEZOLIZUMAB,1
ATOGEPANT,1
ATOSIBAN,1
AURORA KINASE INHIBITOR II,1
AZD-5122,1
AZD1480,1
AZD3778,1
AZITHROMYCIN,1
BACAMPICILLIN,1
BACILLUS CALMETTE-GUERIN ANTIGEN,1
BALIXAFORTIDE,1
BALOVAPTAN,1
BALUGRASTIM,1
BARASERTIB,1
BARASERTIB-HQPA,1
BEKANAMYCIN,1
BENZYLPENICILLOYL POLYLYSINE,1
BETA-GLUCAN,1
BEVACIZUMAB-AWWB,1
BIMOSIAMOSE,1
BLZ-945,1
BMS COMPOUND 87B,1
BORTEZOMIB,1
BOS172722,1
BX-795,1
CADAZOLID,1
1G244,1
CAPREOMYCIN SULFATE,1
CARBIMAZOLE,1
CARBOPLATIN,1
CCL11,1
CCL13,1
CCL15,1
CCL18,1
CCL2,1
CCL24,1
CCL26,1
CCL28,1
CCL5,1
CCL7,1
CCL8,1
CDK2 INHIBITOR IV,1
CENISERTIB,1
CERTOLIZUMAB PEGOL,1
CETHROMYCIN,1
CHEMBL:CHEMBL1290365,1
CHEMBL:CHEMBL585502,1
CHLORAMPHENICOL,1
CHLORAMPHENICOL PALMITATE,1
CHLORAMPHENICOL SODIUM SUCCINATE,1
CHLORTETRACYCLINE HYDROCHLORIDE,1
CHOLECALCIFEROL,1
CHONDROITIN SULFATES,1
CISPLATIN,1
CLARITHROMYCIN,1
CLINDAMYCIN HYDROCHLORIDE,1
CLOMIPRAMINE,1
CLOTRIMAZOLE,1
COBALT,1
COMPOUND 1 [PMID: 16821802],1
COMPOUND 1 [PMID: 21742770],1
COMPOUND 10 [PMID: 19402633],1
COMPOUND 20 [PMID: 22136433],1
COMPOUND 24DD [PMID: 20684603],1
COMPOUND 25 [PMID: 20855207],1
COMPOUND 38 [PMID: 20817473],1
COMPOUND 42 [PMID: 37721854],1
COMPOUND 46 [PMID: 16451062],1
COMPOUND 46C [PMID: 29350534],1
COMPOUND 66 [PMID: 21802293],1
COMPOUND 9 [PMID: 20718420],1
CONIVAPTAN,1
CONTEZOLID,1
CONTEZOLID ACEFOSAMIL,1
CSL-324,1
CX549,1
CXCL10,1
CXCL11,1
CXCL12&ALPHA;,1
CXCL12&BETA;,1
CXCL12&DELTA;,1
CXCL12&EPSILON;,1
CXCL12&GAMMA;,1
CXCL12&PHI;,1
CXCL12-(1-17),1
CXCL12-(1-9),1
CXCL12-(1-9) DIMER,1
CXCL122 (DIMER),1
CXCL12H25R (MONOMER),1
CXCL9,1
CXCR4 ANTAGONIST 22,1
CYCLOSPORINE,1
CYTARABINE,1
"D(CH2)5[D-ILE2,ILE4,ALA-NH29]AVP",1
"D(CH2)5[D-ILE2,ILE4,ALA-NH2]AVP",1
"D(CH2)5[D-TYR(ET)2,VAL4,TYR-NH29]AVP",1
"D(CH2)5[TYR(ET)2,VAL4,DES-GLY9]AVP",1
"D(CH2)5[TYR(ME)2,ARG8]VP",1
"D(CH2)5[TYR(ME)2,THR4,PHE(3125I,4N3)-NH29]OVT",1
"D(CH2)5[TYR(ME)2,THR4,PHE(3I,4N3)-NH29]OVT",1
"D(CH2)5[TYR(ME)2,THR4,TYR(3125I)-NH29]OVT",1
"D(CH2)5[TYR(ME)2,THR4,TYR-NH29]OVT",1
"D(CH2)5[TYR(ME)2,THR4]OVT",1
D(CH2)5[TYR(ME)2]AVP,1
DALFOPRISTIN,1
DANIRIXIN,1
DANUSERTIB,1
DASATINIB ANHYDROUS,1
DAUNORUBICIN HYDROCHLORIDE,1
DAUNORUBICIN LIPOSOMAL,1
DECITABINE,1
DELPAZOLID,1
DEMECLOCYCLINE HYDROCHLORIDE,1
DESIPRAMINE,1
DESMOPRESSIN,1
DIHYDROSTREPTOMYCIN SULFATE,1
DIRITHROMYCIN,1
DORDAVIPRONE,1
DOXEPIN HYDROCHLORIDE,1
DOXYCYCLINE ANHYDROUS,1
DUBERMATINIB,1
DVDAVP,1
D[CHA4]AVP,1
D[D-PAL2]AVP,1
D[D-PHE2]AVP,1
"D[PEN1,TYR(ME)2]AVP",1
EFLAPEGRASTIM,1
ELUBRIXIN,1
EMPESERTIB,1
ENVIRONMENTAL ESTROGEN,1
EPOETIN ALFA,1
EPTINEZUMAB,1
ERAVACYCLINE DIHYDROCHLORIDE,1
ERYTHROMYCIN,1
ERYTHROMYCIN ACISTRATE,1
ERYTHROMYCIN ESTOLATE,1
ERYTHROMYCIN GLUCEPTATE,1
ERYTHROMYCIN LACTOBIONATE,1
ERYTHROMYCIN STEARATE,1
ETHINYL ESTRADIOL,1
F180,1
FAS LIGAND,1
FENOFIBRATE MICRONIZED,1
FENTANYL CITRATE,1
FERRITARG P,1
FLUOROURACIL,1
FLUTAMIDE,1
FOSPHENYTOIN,1
FRAMYCETIN,1
GAMMA-INTERFERON,1
GANGLIOSIDE GM2,1
GEMCITABINE,1
GENISTEIN,1
GENTAMICIN SULFATE,1
GLYCOPEG-GCSF,1
GSK1070916,1
GSK2334470,1
GSK2646264,1
GVAX,1
GW766994,1
HALOPERIDOL DECANOATE,1
HESPERADIN,1
IBCASERTIB,1
IBRUTINIB,1
ICED-2,1
IGMESINE,1
IL-18,1
ILORASERTIB,1
IMATINIB,1
IMMUNOTHERAPEUTIC AGENT,1
INDOMETHACIN,1
D[LEU4]AVP,1
INTERFERON BETA-1A,1
VANCOMYCIN,1
ISONIAZID,1
ISOTHIOUREA-1A,1
ISOTHIOUREA-1T,1
JNJ-7706621,1
JOSAMYCIN,1
KANAMYCIN SULFATE,1
KW-2449,1
L023103,1
LACTULOSE,1
AMPICILLIN (ANHYDROUS),1
LAMIVUDINE,1
LAMOTRIGINE,1
"(3Z)-N,N-DIMETHYL-2-OXO-3-(4,5,6,7-TETRAHYDRO-1H-INDOL-2-YLMETHYLIDENE)-2,3-DIHYDRO-1H-INDOLE-5-SULFONAMIDE",1
LAZUCIRNON,1
LEFAMULIN ACETATE,1
LENOGRASTIM,1
LEVETIRACETAM,1
LIF,1
LINCOMYCIN,1
LINCOMYCIN HYDROCHLORIDE,1
LINEZOLID,1
LIPEGFILGRASTIM,1
LIT-001,1
LS-192629,1
LVP,1
MAFOSFAMIDE,1
MAVORIXAFOR,1
MAXY-G34,1
MEASLES VACCINE,1
MECHLORETHAMINE,1
MECLOCYCLINE SULFOSALICYLATE,1
MELATONIN,1
MET-CK&BETA;7,1
METHACYCLINE HYDROCHLORIDE,1
VELIMOGENE ALIPLASMID,1
VIC 1911,1
VILDAGLIPTIN,1
MINOCYCLINE,1
MINOCYCLINE HYDROCHLORIDE,1
MITOXANTRONE,1
MK-5108,1
MLN-8054,1
MOMELOTINIB,1
MONOAMINE OXIDASE INHIBITOR,1
MOTIXAFORTIDE,1
MOZAVAPTAN,1
VIMNERIXIN,1
NAFITHROMYCIN,1
VINCRISTINE,1
NELIVAPTAN,1
NEOMYCIN SULFATE,1
NETILMICIN SULFATE,1
NIK INHIBITOR 12F,1
VIOMYCIN SULFATE,1
OH-LVA,1
OMADACYCLINE TOSYLATE,1
OPC-21268,1
OPC-51803,1
OXCARBAZEPINE,1
OXYTETRACYCLINE ANHYDROUS,1
OXYTETRACYCLINE CALCIUM,1
OXYTETRACYCLINE HYDROCHLORIDE,1
PAQUINIMOD,1
PAROMOMYCIN SULFATE,1
PAZOPANIB,1
PEGFILGRASTIM-JMDB,1
VMIP-II,1
X4-HIV-1 GP120,1
PEGTEOGRASTIM,1
XMD-12,1
PENICILLIN,1
YM 218,1
PENICILLIN V,1
PETESICATIB,1
PEXIDARTINIB,1
PHENYLBUTAZONE,1
PHENYTOIN SODIUM,1
PICIBANIL,1
PLAZOMICIN SULFATE,1
PLERIXAFOR,1
PLX-5622,1
PLX7486,1
POLY IC,1
POLYVALENT MELANOMA VACCINE,1
PREDNISOLONE,1
PREGNANT MARE SERUM GONADOTROPIN,1
PRITUMUMAB,1
PROGESTIN,1
PROTEASE INHIBITOR,1
PUROMYCIN,1
PYRAZINAMIDE,1
QUINUPRISTIN,1
QUINUPRISTIN/DALFOPRISTIN,1
RADEZOLID,1
REBAMIPIDE,1
RECOMBINANT FAS LIGAND,1
RECOMBINANT INTERFERON,1
RECOMBINANT INTERLEUKIN-8,1
REGRAMOSTIM,1
RELCOVAPTAN,1
YM 471,1
RETINOIC ACID AGENT,1
YM-355179,1
RIMEGEPANT,1
RIVIPANSEL,1
RKI-1447,1
RO116-4875/608,1
RO116-9132/238,1
RO320-2947/001,1
RO330-0802/001,1
RO5028442,1
RUXOLITINIB,1
RWJ-351647,1
SATAVAPTAN,1
SB328437,1
"SDF-1, 1-9[P2G] DIMER",1
SDF1 P2G,1
SELEPRESSIN,1
SISOMICIN,1
SNS-314,1
SODIUM CHLORIDE,1
SONOLISIB,1
SPARSOMYCIN,1
SPECTINOMYCIN HYDROCHLORIDE,1
SPIRAMYCIN,1
SPRI3,1
SRX246,1
SSR126768A,1
STAUROSPORINE,1
STAVUDINE,1
STREPTOMYCIN SULFATE,1
ZM447439,1
SULFASALAZINE,1
SULFINPYRAZONE,1
SUTEZOLID,1
ZONISAMIDE,1
T134,1
T140,1
T22,1
TAK-632,1
TALABOSTAT,1
TASQUINIMOD,1
TBO-FILGRASTIM,1
TEBENTAFUSP,1
TEDIZOLID,1
TEDIZOLID PHOSPHATE,1
TELITHROMYCIN,1
TENELIGLIPTIN,1
TERBINAFINE,1
TESTOSTERONE,1
TETANUS ANTITOXIN,1
TETRACYCLINE,1
TETRACYCLINE HYDROCHLORIDE,1
TETRACYCLINE PHOSPHATE COMPLEX,1
[125I]3-N3-PHPA-LVA,1
ANGIOGENESIS INHIBITOR,1
ANTI-C-FMS MONOCLONAL ANTIBODY AMG 820,1
THERAPEUTIC ANDROSTANOLONE,1
THERAPEUTIC GLUCOCORTICOID,1
THERAPEUTIC HORMONE,1
THERAPEUTIC TUMOR INFILTRATING LYMPHOCYTES,1
THYMOSIN BETA-4,1
THYROGLOBULIN,1
ANTISERUM,1
TIGECYCLINE,1
TIMBETASIN,1
TINENGOTINIB,1
TIQ-15,1
TOBRAMYCIN,1
ARGIPRESSIN,1
