drug_name,network_score,genes_targeted,targeted_genes
PAQUINIMOD,1473.428312159709,1,S100A9
TASQUINIMOD,1473.428312159709,1,S100A9
METHOTREXATE,1282.5924954627944,5,"FCGR3B,HLA-C,HLA-E,S100A12,S100A8"
AMOXICILLIN ANHYDROUS,840.01115245009,4,"HLA-A,HLA-B,HLA-C,HLA-DRA"
CLAVULANIC ACID,840.01115245009,4,"HLA-A,HLA-B,HLA-C,HLA-DRA"
FLOXACILLIN,840.01115245009,4,"HLA-A,HLA-B,HLA-C,HLA-DRA"
INFLIXIMAB-DYYB,733.9251361161519,3,"HLA-B,HLA-C,HLA-E"
TIMBETASIN,696.7442831215969,1,TMSB4X
LAPATINIB,688.1090744101627,3,"HLA-A,HLA-B,HLA-C"
PEGINTERFERON ALFA-2B,688.1090744101627,3,"HLA-A,HLA-B,HLA-C"
RIBAVIRIN,688.1090744101627,3,"HLA-A,HLA-B,HLA-C"
TICLOPIDINE,688.1090744101627,3,"HLA-A,HLA-B,HLA-C"
HIV-TAT,600.600045372051,2,"ACTB,ACTG1"
CYCLOPHOSPHAMIDE ANHYDROUS,594.7246642468241,2,"ACTB,CXCR2"
CLOZAPINE,533.3095281306712,2,"HLA-B,HLA-C"
METHAZOLAMIDE,533.3095281306712,2,"HLA-B,HLA-C"
SULFAMETHOXAZOLE / TRIMETHOPRIM,533.3095281306712,2,"HLA-B,HLA-C"
METHIMAZOLE,524.0893557168782,2,"FCGR3B,HLA-B"
THALIDOMIDE,524.0893557168782,2,"FCGR3B,HLA-B"
AZD3778,508.7862068965519,1,ACTB
BMS COMPOUND 87B,508.7862068965519,1,ACTB
CCL11,508.7862068965519,1,ACTB
CCL13,508.7862068965519,1,ACTB
CCL15,508.7862068965519,1,ACTB
CCL18,508.7862068965519,1,ACTB
CCL2,508.7862068965519,1,ACTB
CCL24,508.7862068965519,1,ACTB
CCL26,508.7862068965519,1,ACTB
CCL28,508.7862068965519,1,ACTB
CCL5,508.7862068965519,1,ACTB
CCL7,508.7862068965519,1,ACTB
CCL8,508.7862068965519,1,ACTB
CXCL10,508.7862068965519,1,ACTB
CXCL11,508.7862068965519,1,ACTB
CXCL9,508.7862068965519,1,ACTB
ENVIRONMENTAL ESTROGEN,508.7862068965519,1,ACTB
ETHINYL ESTRADIOL,508.7862068965519,1,ACTB
GW766994,508.7862068965519,1,ACTB
LAZUCIRNON,508.7862068965519,1,ACTB
MET-CK&BETA;7,508.7862068965519,1,ACTB
RO116-4875/608,508.7862068965519,1,ACTB
RO116-9132/238,508.7862068965519,1,ACTB
RO320-2947/001,508.7862068965519,1,ACTB
RO330-0802/001,508.7862068965519,1,ACTB
SB328437,508.7862068965519,1,ACTB
UCB35625,508.7862068965519,1,ACTB
YM-355179,508.7862068965519,1,ACTB
[125I]CCL11 (HUMAN),508.7862068965519,1,ACTB
[125I]CCL5 (HUMAN),508.7862068965519,1,ACTB
[125I]CCL7 (HUMAN),508.7862068965519,1,ACTB
[3H]BANYU (I),508.7862068965519,1,ACTB
ETANERCEPT-SZZS,504.9887477313971,2,"HLA-B,HLA-E"
IPILIMUMAB,461.6333393829397,2,"B2M,HLA-A"
CARBAMAZEPINE,459.172686025408,2,"HLA-A,HLA-B"
DAPSONE,459.172686025408,2,"HLA-A,HLA-B"
PEGINTERFERON ALFA-2A,459.172686025408,2,"HLA-A,HLA-B"
NIVOLUMAB,458.7358711433754,2,"B2M,HLA-DRA"
PEMBROLIZUMAB,458.7358711433754,2,"B2M,HLA-DRA"
PENICILLIN G POTASSIUM,438.24950090744096,2,"FPR1,HLA-B"
DOXORUBICIN HYDROCHLORIDE,314.45369328493643,2,"FCGR3B,S100A4"
AMIKACIN,306.83379310344816,1,B2M
BORTEZOMIB,306.83379310344816,1,B2M
GAMMA-INTERFERON,306.83379310344816,1,B2M
GVAX,306.83379310344816,1,B2M
THYROGLOBULIN,306.83379310344816,1,B2M
ABACAVIR,304.37313974591643,1,HLA-B
ACETAZOLAMIDE,304.37313974591643,1,HLA-B
BACILLUS CALMETTE-GUERIN ANTIGEN,304.37313974591643,1,HLA-B
CARBIMAZOLE,304.37313974591643,1,HLA-B
CLINDAMYCIN,304.37313974591643,1,HLA-B
FOSPHENYTOIN,304.37313974591643,1,HLA-B
INTERFERON BETA-1A,304.37313974591643,1,HLA-B
ISONIAZID,304.37313974591643,1,HLA-B
LAMIVUDINE,304.37313974591643,1,HLA-B
MEASLES VACCINE,304.37313974591643,1,HLA-B
MINOCYCLINE,304.37313974591643,1,HLA-B
OXCARBAZEPINE,304.37313974591643,1,HLA-B
PAZOPANIB,304.37313974591643,1,HLA-B
PENICILLIN V,304.37313974591643,1,HLA-B
PHENYTOIN SODIUM,304.37313974591643,1,HLA-B
RECOMBINANT INTERFERON,304.37313974591643,1,HLA-B
STAVUDINE,304.37313974591643,1,HLA-B
SULFASALAZINE,304.37313974591643,1,HLA-B
TRICHLOROETHYLENE,304.37313974591643,1,HLA-B
VELIMOGENE ALIPLASMID,304.37313974591643,1,HLA-B
TETRADECANOYLPHORBOL ACETATE,302.9982032667875,2,"FCGR3B,NCF2"
ALDESLEUKIN,298.87453720508154,2,"FCGR3B,VIM"
DIMETHYL SULFOXIDE,298.87453720508154,2,"FCGR3B,VIM"
GELDANAMYCIN,298.87453720508154,2,"FCGR3B,VIM"
TOFACITINIB,263.1603811252267,2,"CSF3R,CTSS"
CARBOPLATIN,228.9363883847548,1,HLA-C
GEMCITABINE,228.9363883847548,1,HLA-C
LAMOTRIGINE,228.9363883847548,1,HLA-C
THERAPEUTIC TUMOR INFILTRATING LYMPHOCYTES,228.9363883847548,1,HLA-C
USTEKINUMAB,228.9363883847548,1,HLA-C
VALPROIC ACID,228.9363883847548,1,HLA-C
ANGIOGENESIS INHIBITOR,219.71621597096183,1,FCGR3B
BETA-GLUCAN,219.71621597096183,1,FCGR3B
CHOLECALCIFEROL,219.71621597096183,1,FCGR3B
CHONDROITIN SULFATES,219.71621597096183,1,FCGR3B
CYCLOSPORINE,219.71621597096183,1,FCGR3B
CYTARABINE,219.71621597096183,1,FCGR3B
EPOETIN ALFA,219.71621597096183,1,FCGR3B
FAS LIGAND,219.71621597096183,1,FCGR3B
FENTANYL CITRATE,219.71621597096183,1,FCGR3B
HEPARIN,219.71621597096183,1,FCGR3B
IL-18,219.71621597096183,1,FCGR3B
IMMUNOTHERAPEUTIC AGENT,219.71621597096183,1,FCGR3B
INDOMETHACIN,219.71621597096183,1,FCGR3B
LACTULOSE,219.71621597096183,1,FCGR3B
LIF,219.71621597096183,1,FCGR3B
MAFOSFAMIDE,219.71621597096183,1,FCGR3B
PENICILLIN,219.71621597096183,1,FCGR3B
PICIBANIL,219.71621597096183,1,FCGR3B
POLY IC,219.71621597096183,1,FCGR3B
PREDNISOLONE,219.71621597096183,1,FCGR3B
PROGESTIN,219.71621597096183,1,FCGR3B
PROTEASE INHIBITOR,219.71621597096183,1,FCGR3B
PUROMYCIN,219.71621597096183,1,FCGR3B
RECOMBINANT INTERLEUKIN-8,219.71621597096183,1,FCGR3B
SODIUM CHLORIDE,219.71621597096183,1,FCGR3B
ADALIMUMAB-ADBM,200.61560798548064,1,HLA-E
CERTOLIZUMAB PEGOL,200.61560798548064,1,HLA-E
DECITABINE,200.61560798548064,1,HLA-E
"2-TERT-BUTYL-9-FLUORO-1,6-DIHYDROBENZO[H]IMIDAZO[4,5-F]ISOQUINOLIN-7-ONE",189.60753176043545,1,CSF3R
ANTI-C-FMS MONOCLONAL ANTIBODY AMG 820,189.60753176043545,1,CSF3R
AZD1480,189.60753176043545,1,CSF3R
BALUGRASTIM,189.60753176043545,1,CSF3R
BLZ-945,189.60753176043545,1,CSF3R
COMPOUND 1 [PMID: 16821802],189.60753176043545,1,CSF3R
CSL-324,189.60753176043545,1,CSF3R
DASATINIB ANHYDROUS,189.60753176043545,1,CSF3R
EFLAPEGRASTIM,189.60753176043545,1,CSF3R
GLYCOPEG-GCSF,189.60753176043545,1,CSF3R
IBRUTINIB,189.60753176043545,1,CSF3R
IMATINIB,189.60753176043545,1,CSF3R
LENOGRASTIM,189.60753176043545,1,CSF3R
LIPEGFILGRASTIM,189.60753176043545,1,CSF3R
MAXY-G34,189.60753176043545,1,CSF3R
MOMELOTINIB,189.60753176043545,1,CSF3R
PEGFILGRASTIM-JMDB,189.60753176043545,1,CSF3R
