Gene,Difference,Cluster0Mean,Cluster1Mean,AbsDiff
S100A9,-1473.428312159709,3917.413793103448,5390.8421052631575,1473.428312159709
TMSB4X,-696.7442831215969,1262.5741379310348,1959.318421052632,696.7442831215969
S100A8,-541.5313974591653,547.4896551724138,1089.021052631579,541.5313974591653
ACTB,-508.7862068965519,1640.713793103448,2149.5,508.7862068965519
LYZ,-372.8864882032667,416.23982758620696,789.1263157894737,372.8864882032667
IFITM2,-353.0365698729579,2320.834482758621,2673.871052631579,353.0365698729579
B2M,-306.83379310344816,253.36620689655177,560.1999999999999,306.83379310344816
HLA-B,-304.37313974591643,2119.468965517241,2423.842105263158,304.37313974591643
S100A11,-301.8539019963704,1007.0224137931032,1308.8763157894737,301.8539019963704
HLA-C,-228.9363883847548,1639.0741379310346,1868.010526315789,228.9363883847548
FCGR3B,-219.71621597096183,210.24431034482768,429.9605263157896,219.71621597096183
MNDA,-208.03168784029023,164.1262068965518,372.157894736842,208.03168784029023
HLA-E,-200.61560798548064,599.939655172414,800.5552631578946,200.61560798548064
CSF3R,-189.60753176043545,581.9793103448278,771.5868421052633,189.60753176043545
SELL,-183.8680580762252,221.22931034482764,405.0973684210528,183.8680580762252
TXNIP,-179.41257713248635,181.7268965517241,361.1394736842105,179.41257713248635
FTL,-178.50571687840284,2250.2758620689656,2428.7815789473684,178.50571687840284
IFITM1,-173.0023593466425,751.8344827586208,924.8368421052631,173.0023593466425
LAPTM5,-163.2171778584393,347.2591379310344,510.4763157894736,163.2171778584393
TMSB10,-160.46569872958253,718.294827586207,878.7605263157895,160.46569872958253
ARHGDIB,-159.7114882032667,364.66482758620697,524.3763157894737,159.7114882032667
FTH1,-156.43417422867526,601.1579310344828,757.592105263158,156.43417422867526
HLA-A,-154.79954627949155,1091.4241379310345,1246.223684210526,154.79954627949155
HLA-DRA,-151.90207803992723,279.8584482758622,431.76052631578943,151.90207803992723
UBC,-147.29065335753154,447.5172413793104,594.807894736842,147.29065335753154
LCP1,-138.3317876588022,175.39189655172416,313.7236842105264,138.3317876588022
IFITM3,-138.20215970961902,399.95310344827584,538.1552631578949,138.20215970961902
FPR1,-133.87636116152453,310.6525862068965,444.528947368421,133.87636116152453
MYL6,-132.4361161524501,269.4086206896551,401.8447368421052,132.4361161524501
PSAP,-127.0504537205083,442.7758620689654,569.8263157894737,127.0504537205083
S100A6,-118.25426497277692,485.6431034482757,603.8973684210526,118.25426497277692
FCER1G,-117.93541742286747,230.49879310344824,348.4342105263157,117.93541742286747
RGS2,-107.1574047186932,71.97706896551725,179.13447368421046,107.1574047186932
TAGLN2,-103.24970054446452,459.7529310344827,563.0026315789472,103.24970054446452
S100A4,-94.73747731397464,654.4362068965517,749.1736842105263,94.73747731397464
TYROBP,-94.64428312159748,738.6241379310342,833.2684210526317,94.64428312159748
ACTG1,-91.81383847549904,303.13879310344834,394.9526315789474,91.81383847549904
S100A12,-91.79288566243184,110.11948275862076,201.91236842105252,91.79288566243184
CXCR2,-85.9384573502722,95.35206896551726,181.29052631578944,85.9384573502722
JAML,-84.44415607985479,155.17689655172416,239.6210526315789,84.44415607985479
GABARAP,-84.09024500907447,267.8439655172413,351.9342105263158,84.09024500907447
H3-3A,-83.51081669691473,138.52655172413796,222.0373684210527,83.51081669691473
NCF2,-83.28198729582572,119.52327586206896,202.80526315789467,83.28198729582572
SERPINA1,-82.37854809437391,227.29224137931035,309.67078947368424,82.37854809437391
VIM,-79.15832123411971,209.0443103448276,288.2026315789473,79.15832123411971
EVI2B,-78.14181488203265,58.17344827586207,136.31526315789472,78.14181488203265
GMFG,-76.62464609800364,147.66482758620688,224.2894736842105,76.62464609800364
CXCR1,-76.1323411978222,191.4634482758621,267.5957894736843,76.1323411978222
CTSS,-73.55284936479126,69.73741379310346,143.2902631578947,73.55284936479126
TPT1,-71.80696914700546,77.00224137931035,148.8092105263158,71.80696914700546
CD52,-67.0996914700545,175.95741379310346,243.05710526315795,67.0996914700545
SRGN,-66.21942831215972,44.69741379310344,110.91684210526316,66.21942831215972
AQP9,-63.588856624319405,53.85482758620691,117.44368421052631,63.588856624319405
HCLS1,-62.84361161524501,197.1458620689655,259.9894736842105,62.84361161524501
