protein1,protein2,combined_score
9606.ENSP00000219919,9606.ENSP00000357123,813
9606.ENSP00000225430,9606.ENSP00000435096,999
9606.ENSP00000225430,9606.ENSP00000339063,983
9606.ENSP00000225430,9606.ENSP00000389103,999
9606.ENSP00000225430,9606.ENSP00000379888,999
9606.ENSP00000225430,9606.ENSP00000377640,999
9606.ENSP00000225430,9606.ENSP00000463784,999
9606.ENSP00000225430,9606.ENSP00000369757,999
9606.ENSP00000225430,9606.ENSP00000428085,999
9606.ENSP00000225430,9606.ENSP00000331901,993
9606.ENSP00000225430,9606.ENSP00000362744,999
9606.ENSP00000225430,9606.ENSP00000495273,999
9606.ENSP00000225430,9606.ENSP00000311430,999
9606.ENSP00000225430,9606.ENSP00000389351,999
9606.ENSP00000225430,9606.ENSP00000359345,999
9606.ENSP00000225430,9606.ENSP00000230050,999
9606.ENSP00000225430,9606.ENSP00000393241,999
9606.ENSP00000225430,9606.ENSP00000496250,999
9606.ENSP00000225430,9606.ENSP00000494697,999
9606.ENSP00000225430,9606.ENSP00000361076,999
9606.ENSP00000225430,9606.ENSP00000477781,956
9606.ENSP00000225430,9606.ENSP00000464813,999
9606.ENSP00000225430,9606.ENSP00000449328,999
9606.ENSP00000225430,9606.ENSP00000272317,999
9606.ENSP00000225430,9606.ENSP00000435777,999
9606.ENSP00000225430,9606.ENSP00000346050,999
9606.ENSP00000225430,9606.ENSP00000354739,999
9606.ENSP00000225430,9606.ENSP00000355315,999
9606.ENSP00000225430,9606.ENSP00000375730,999
9606.ENSP00000225430,9606.ENSP00000346027,999
9606.ENSP00000225430,9606.ENSP00000270625,999
9606.ENSP00000225430,9606.ENSP00000449026,976
9606.ENSP00000225430,9606.ENSP00000441543,771
9606.ENSP00000225430,9606.ENSP00000499044,999
9606.ENSP00000225430,9606.ENSP00000346001,999
9606.ENSP00000228945,9606.ENSP00000294507,795
9606.ENSP00000230050,9606.ENSP00000270625,999
9606.ENSP00000230050,9606.ENSP00000346001,999
9606.ENSP00000230050,9606.ENSP00000499044,999
9606.ENSP00000230050,9606.ENSP00000346027,999
9606.ENSP00000230050,9606.ENSP00000354739,999
9606.ENSP00000230050,9606.ENSP00000355315,999
9606.ENSP00000230050,9606.ENSP00000375730,999
9606.ENSP00000230050,9606.ENSP00000449328,999
9606.ENSP00000230050,9606.ENSP00000477781,961
9606.ENSP00000230050,9606.ENSP00000464813,999
9606.ENSP00000230050,9606.ENSP00000435777,999
9606.ENSP00000230050,9606.ENSP00000346050,999
9606.ENSP00000230050,9606.ENSP00000272317,999
9606.ENSP00000230050,9606.ENSP00000494697,999
9606.ENSP00000230050,9606.ENSP00000496250,999
9606.ENSP00000230050,9606.ENSP00000361076,999
9606.ENSP00000230050,9606.ENSP00000389351,999
9606.ENSP00000230050,9606.ENSP00000393241,999
9606.ENSP00000230050,9606.ENSP00000359345,999
9606.ENSP00000230050,9606.ENSP00000225430,999
9606.ENSP00000230050,9606.ENSP00000331901,848
9606.ENSP00000230050,9606.ENSP00000428085,999
9606.ENSP00000230050,9606.ENSP00000362744,999
9606.ENSP00000230050,9606.ENSP00000495273,999
9606.ENSP00000230050,9606.ENSP00000311430,999
9606.ENSP00000230050,9606.ENSP00000389103,999
9606.ENSP00000230050,9606.ENSP00000339063,978
9606.ENSP00000230050,9606.ENSP00000435096,999
9606.ENSP00000230050,9606.ENSP00000463784,999
9606.ENSP00000230050,9606.ENSP00000369757,999
9606.ENSP00000230050,9606.ENSP00000377640,999
9606.ENSP00000230050,9606.ENSP00000379888,999
9606.ENSP00000233143,9606.ENSP00000357709,872
9606.ENSP00000242465,9606.ENSP00000294507,773
9606.ENSP00000261267,9606.ENSP00000497910,749
