GeneID,importance,Symbol,Description
5290,0.0071953908114682,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"
7411,0.0058266066213259,VBP1,VHL binding protein 1
1195,0.0056604833783397,CLK1,CDC like kinase 1
10875,0.0051966108610392,FGL2,fibrinogen like 2
5728,0.0045482809061567,PTEN,phosphatase and tensin homolog
11010,0.0042924948735475,GLIPR1,GLI pathogenesis related 1
4001,0.004161144488653,LMNB1,lamin B1
55754,0.0041569076269255,TMEM30A,transmembrane protein 30A
5291,0.0040999755265235,PIK3CB,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta"
6611,0.0040776492590734,SMS,spermine synthase
379025,0.0040477179218437,PSMA3-AS1,PSMA3 antisense RNA 1
3459,0.0039083947889255,IFNGR1,interferon gamma receptor 1
29883,0.0039041769961274,CNOT7,CCR4-NOT transcription complex subunit 7
219771,0.0038667097382911,CCNY,cyclin Y
7695,0.0038516516942878,ZNF136,zinc finger protein 136
51652,0.003747840112053,CHMP3,charged multivesicular body protein 3
5594,0.0036874170026984,MAPK1,mitogen-activated protein kinase 1
5271,0.0036700863668293,SERPINB8,serpin family B member 8
6814,0.0036353434121547,STXBP3,syntaxin binding protein 3
101928317,0.0035904774597064,LOC101928317,uncharacterized LOC101928317
10087,0.0032830637227717,CERT1,ceramide transporter 1
137835,0.003259002067824,TMEM71,transmembrane protein 71
23168,0.0032044785671461,RTF1,"RTF1 homolog, Paf1/RNA polymerase II complex component"
58533,0.0030432247009047,SNX6,sorting nexin 6
9375,0.0030070816008316,TM9SF2,transmembrane 9 superfamily member 2
113218500,0.003,MIR10393,microRNA 10393
5538,0.002944862974976,PPT1,palmitoyl-protein thioesterase 1
23071,0.0029436811516343,ERP44,endoplasmic reticulum protein 44
1540,0.0029226074098414,CYLD,CYLD lysine 63 deubiquitinase
10625,0.0028777817861987,IVNS1ABP,influenza virus NS1A binding protein
5565,0.0028772497772497,PRKAB2,protein kinase AMP-activated non-catalytic subunit beta 2
1475,0.002825141517211,CSTA,cystatin A
51108,0.0027811156256589,METTL9,methyltransferase like 9
51199,0.0027716268287696,NIN,ninein
6883,0.0027616290328364,TAF12,TATA-box binding protein associated factor 12
27020,0.0027325444971729,NPTN,neuroplastin
51170,0.0026725864413364,HSD17B11,hydroxysteroid 17-beta dehydrogenase 11
55109,0.0026512470526712,AGGF1,angiogenic factor with G-patch and FHA domains 1
79670,0.0026302821816878,TUT7,terminal uridylyl transferase 7
8935,0.0026223170680541,SKAP2,src kinase associated phosphoprotein 2
51719,0.002620710558791,CAB39,calcium binding protein 39
81671,0.0026140336463739,VMP1,vacuole membrane protein 1
55012,0.0026111803086857,PPP2R3C,protein phosphatase 2 regulatory subunit B''gamma
830,0.0025922224679345,CAPZA2,capping actin protein of muscle Z-line subunit alpha 2
10135,0.0025709946973104,NAMPT,nicotinamide phosphoribosyltransferase
497661,0.002560731671537,C18orf32,chromosome 18 open reading frame 32
7581,0.0025531338563381,ZNF33A,zinc finger protein 33A
5906,0.0025429555313725,RAP1A,"RAP1A, member of RAS oncogene family"
29994,0.0025241361532486,BAZ2B,bromodomain adjacent to zinc finger domain 2B
1992,0.0025173513083977,SERPINB1,serpin family B member 1
10513,0.0025066271873008,APPBP2,amyloid beta precursor protein binding protein 2
5579,0.0025066102674147,PRKCB,protein kinase C beta
51251,0.0024765519338232,NT5C3A,"5'-nucleotidase, cytosolic IIIA"
29896,0.0024661383758777,TRA2A,transformer 2 alpha homolog
51646,0.0024500476531947,YPEL5,yippee like 5
55744,0.0024484684079406,COA1,cytochrome c oxidase assembly factor 1
4170,0.0024445195313382,MCL1,"MCL1 apoptosis regulator, BCL2 family member"
6197,0.0023929233174256,RPS6KA3,ribosomal protein S6 kinase A3
5873,0.002353935713688,RAB27A,"RAB27A, member RAS oncogene family"
9689,0.0023471311297398,BZW1,basic leucine zipper and W2 domains 1
55145,0.0023462106239788,THAP1,THAP domain containing 1
1316,0.0023434216577073,KLF6,KLF transcription factor 6
128338,0.0023403172809939,DRAM2,DNA damage regulated autophagy modulator 2
23023,0.0023345373418587,TMCC1,transmembrane and coiled-coil domain family 1
678,0.0022935526415402,ZFP36L2,ZFP36 ring finger protein like 2
5997,0.0022618158698805,RGS2,regulator of G protein signaling 2
10855,0.0022506573050863,HPSE,heparanase
118987,0.0022179290528929,PDZD8,PDZ domain containing 8
5257,0.002217483653891,PHKB,phosphorylase kinase regulatory subunit beta
401152,0.0021876032981085,C4orf3,chromosome 4 open reading frame 3
1983,0.0021804547055321,EIF5,eukaryotic translation initiation factor 5
10565,0.0020324396760656,ARFGEF1,ADP ribosylation factor guanine nucleotide exchange factor 1
10094,0.0020303906531443,ARPC3,actin related protein 2/3 complex subunit 3
10451,0.0020285931243051,VAV3,vav guanine nucleotide exchange factor 3
3188,0.0020190578419313,HNRNPH2,heterogeneous nuclear ribonucleoprotein H2
100093631,0.0020162652162652,GTF2IP4,general transcription factor IIi pseudogene 4
57096,0.0019135516984397,RPGRIP1,RPGR interacting protein 1
9908,0.0018703253503253,G3BP2,G3BP stress granule assembly factor 2
3183,0.0017703849517046,HNRNPC,heterogeneous nuclear ribonucleoprotein C
2215,0.0016824944152206,FCGR3B,Fc gamma receptor IIIb
146223,0.0016779339727245,CMTM4,CKLF like MARVEL transmembrane domain containing 4
9976,0.0016771046420141,CLEC2B,C-type lectin domain family 2 member B
118429,0.0016761619190404,ANTXR2,ANTXR cell adhesion molecule 2
10487,0.0016717325227963,CAP1,cyclase associated actin cytoskeleton regulatory protein 1
7049,0.0016356591281381,TGFBR3,transforming growth factor beta receptor 3
10010,0.0016355610910449,TANK,TRAF family member associated NFKB activator
3320,0.0016204657986429,HSP90AA1,heat shock protein 90 alpha family class A member 1
10251,0.0016087311133557,SPRY3,sprouty RTK signaling antagonist 3
2201,0.0015899433385147,FBN2,fibrillin 2
2358,0.0015827399380804,FPR2,formyl peptide receptor 2
4332,0.0015799418613318,MNDA,myeloid cell nuclear differentiation antigen
65072,0.0015778571428571,CFLAR-AS1,CFLAR antisense RNA 1
100529251,0.0015744335579269,CKLF-CMTM1,CKLF-CMTM1 readthrough
1998,0.0015714285714285,ELF2,E74 like ETS transcription factor 2
1730,0.0015390472591419,DIAPH2,diaphanous related formin 2
8562,0.0015358923184123,DENR,density regulated re-initiation and release factor
55526,0.0015102040816326,DHTKD1,dehydrogenase E1 and transketolase domain containing 1
2992,0.0015092928638446,GYG1,glycogenin 1
203228,0.0015075239398084,C9orf72,C9orf72-SMCR8 complex subunit
54682,0.0015041322314049,MANSC1,MANSC domain containing 1
51379,0.0014950911640953,CRLF3,cytokine receptor like factor 3
5520,0.0014919735579178,PPP2R2A,protein phosphatase 2 regulatory subunit Balpha
55871,0.001486913086913,ZNG1A,Zn regulated GTPase metalloprotein activator 1A
378,0.0014841698841698,ARF4,ADP ribosylation factor 4
9218,0.0014834335441146,VAPA,VAMP associated protein A
221178,0.0014819545779298,SPATA13,spermatogenesis associated 13
2790,0.0014797202797202,GNG10,G protein subunit gamma 10
7360,0.0014682552411501,UGP2,UDP-glucose pyrophosphorylase 2
10762,0.0014672216664476,NUP50,nucleoporin 50
64428,0.001463990797431,CIAO3,cytosolic iron-sulfur assembly component 3
10959,0.001456277056277,TMED2,transmembrane p24 trafficking protein 2
1368,0.0014074682074682,CPM,carboxypeptidase M
158747,0.0014074682074682,MOSPD2,motile sperm domain containing 2
22926,0.0014054026211146,ATF6,activating transcription factor 6
51099,0.0014052832576052,ABHD5,"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"
3920,0.0014042085245861,LAMP2,lysosomal associated membrane protein 2
100302138,0.0013985574360063,MIR1292,microRNA 1292
10492,0.001397580767268,SYNCRIP,synaptotagmin binding cytoplasmic RNA interacting protein
117178,0.001397580767268,SSX2IP,SSX family member 2 interacting protein
6879,0.0013936119020288,TAF7,TATA-box binding protein associated factor 7
541471,0.0013936119020288,MIR4435-2HG,MIR4435-2 host gene
942,0.0013936119020288,CD86,CD86 molecule
79627,0.0013931888544891,OGFRL1,opioid growth factor receptor like 1
254170,0.0013931888544891,FBXO33,F-box protein 33
196264,0.0013931888544891,MPZL3,myelin protein zero like 3
6093,0.0013929383116883,ROCK1,Rho associated coiled-coil containing protein kinase 1
23287,0.0013919774806474,AGTPBP1,ATP/GTP binding carboxypeptidase 1
57552,0.0013897832817337,NCEH1,neutral cholesterol ester hydrolase 1
837,0.0013897832817337,CASP4,caspase 4
91607,0.0013888888888888,SLFN11,schlafen family member 11
26973,0.0013888888888888,CHORDC1,cysteine and histidine rich domain containing 1
5887,0.0013888888888888,RAD23B,"RAD23 homolog B, nucleotide excision repair protein"
8493,0.0013867721578185,PPM1D,"protein phosphatase, Mg2+/Mn2+ dependent 1D"
27235,0.0013850066017898,COQ2,"coenzyme Q2, polyprenyltransferase"
8875,0.0013828571428571,VNN2,vanin 2
6655,0.0013828571428571,SOS2,SOS Ras/Rho guanine nucleotide exchange factor 2
214,0.0013780042992245,ALCAM,activated leukocyte cell adhesion molecule
400954,0.001374485103949,EML6,EMAP like 6
282991,0.0013730612244897,BLOC1S2,biogenesis of lysosomal organelles complex 1 subunit 2
134218,0.0013730612244897,DNAJC21,DnaJ heat shock protein family (Hsp40) member C21
7702,0.0013513513513513,ZNF143,zinc finger protein 143
55176,0.0013479245283018,SEC61A2,SEC61 translocon subunit alpha 2
56900,0.0013432654302219,TMEM167B,transmembrane protein 167B
805,0.0013432654302219,CALM2,calmodulin 2
100529261,0.0013429561429561,CHURC1-FNTB,CHURC1-FNTB readthrough
2675,0.0013321312306342,GFRA2,GDNF family receptor alpha 2
9530,0.0013251737451737,BAG4,BAG cochaperone 4
26019,0.0013233674272226,UPF2,UPF2 regulator of nonsense mediated mRNA decay
84255,0.0013130637603547,SLC37A3,solute carrier family 37 member 3
85025,0.0013123240395967,TMEM60,transmembrane protein 60
1105,0.0013123240395967,CHD1,chromodomain helicase DNA binding protein 1
2959,0.0013123240395967,GTF2B,general transcription factor IIB
10254,0.0013123240395967,STAM2,signal transducing adaptor molecule 2
9120,0.0013069153069153,SLC16A6,solute carrier family 16 member 6
8417,0.0013066666666666,STX7,syntaxin 7
112268222,0.0013050193050193,LOC112268222,
6942,0.0013050193050193,TCF20,transcription factor 20
9653,0.0013021559777167,HS2ST1,heparan sulfate 2-O-sulfotransferase 1
57609,0.0012988416988416,DIP2B,disco interacting protein 2 homolog B
115294,0.0012988416988416,PCMTD1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
3799,0.0012988416988416,KIF5B,kinesin family member 5B
643836,0.0012983016983016,ZFP62,ZFP62 zinc finger protein
93134,0.0012983016983016,ZNF561,zinc finger protein 561
2776,0.0012978758501978,GNAQ,G protein subunit alpha q
81493,0.0012978758501978,SYNC,"syncoilin, intermediate filament protein"
51347,0.0012978758501978,TAOK3,TAO kinase 3
84188,0.0012959362618805,FAR1,fatty acyl-CoA reductase 1
9453,0.0012934242181234,GGPS1,geranylgeranyl diphosphate synthase 1
55818,0.0012934242181234,KDM3A,lysine demethylase 3A
284695,0.0012890637293469,ZNF326,zinc finger protein 326
9782,0.0012874819908651,MATR3,matrin 3
23116,0.0012874819908651,TOGARAM1,TOG array regulator of axonemal microtubules 1
79366,0.0012874819908651,HMGN5,high mobility group nucleosome binding domain 5
529,0.0012840732831291,ATP6V1E1,ATPase H+ transporting V1 subunit E1
6230,0.0012840732831291,RPS25,ribosomal protein S25
3936,0.0012830793905372,LCP1,lymphocyte cytosolic protein 1
50810,0.0012804232804232,HDGFL3,HDGF like 3
79657,0.0012759270898805,RPAP3,RNA polymerase II associated protein 3
9360,0.0012727733668283,PPIG,peptidylprolyl isomerase G
129531,0.0012685050798258,MITD1,microtubule interacting and trafficking domain containing 1
9920,0.0012685050798258,KBTBD11,kelch repeat and BTB domain containing 11
3422,0.0012634271099744,IDI1,isopentenyl-diphosphate delta isomerase 1
9403,0.0012634271099744,SELENOF,selenoprotein F
84196,0.0012549744549744,USP48,ubiquitin specific peptidase 48
5782,0.0012488630250868,PTPN12,protein tyrosine phosphatase non-receptor type 12
120892,0.0012488630250868,LRRK2,leucine rich repeat kinase 2
