Gene,Difference,Cluster0Mean,Cluster1Mean,AbsDiff,Category
HBA2,86555.77132486386,308801.0344827586,222245.26315789475,86555.77132486386,Hemoglobin / blood
HBA1,85631.6152450091,289377.9310344828,203746.31578947368,85631.6152450091,Hemoglobin / blood
HBB,19576.31578947368,254400.0,234823.68421052632,19576.31578947368,Hemoglobin / blood
HBD,2448.622504537205,22512.01724137931,20063.394736842107,2448.622504537205,Hemoglobin / blood
S100A9,-1473.428312159709,3917.413793103448,5390.8421052631575,1473.428312159709,Immune / inflammatory
COX1,-905.4517241379308,2450.648275862069,3356.1,905.4517241379308,Mitochondrial
ATP6,-799.3774954627947,2045.9172413793103,2845.294736842105,799.3774954627947,Mitochondrial
ND4,-733.1842105263163,1877.65,2610.834210526316,733.1842105263163,Mitochondrial
COX2,-721.158076225046,2582.160344827586,3303.318421052632,721.158076225046,Mitochondrial
ATP8,-710.3668784029044,1238.562068965517,1948.9289473684212,710.3668784029044,Mitochondrial
TMSB4X,-696.7442831215969,1262.5741379310348,1959.318421052632,696.7442831215969,Other
COX3,-610.8487295825776,2283.3775862068965,2894.226315789474,610.8487295825776,Mitochondrial
S100A8,-541.5313974591653,547.4896551724138,1089.021052631579,541.5313974591653,Immune / inflammatory
ND2,-512.9625226860257,1299.6137931034482,1812.576315789474,512.9625226860257,Mitochondrial
ACTB,-508.7862068965519,1640.713793103448,2149.5,508.7862068965519,Other
ND1,-454.1524500907437,1867.639655172414,2321.7921052631577,454.1524500907437,Mitochondrial
HBQ1,425.9126869328492,1356.260344827586,930.3476578947368,425.9126869328492,Hemoglobin / blood
ND3,-402.2098911070784,1124.163793103448,1526.3736842105263,402.2098911070784,Mitochondrial
CYTB,-397.7396551724141,1259.760344827586,1657.5,397.7396551724141,Mitochondrial
ND4L,-376.3602540834844,629.6844827586208,1006.0447368421052,376.3602540834844,Mitochondrial
LYZ,-372.8864882032667,416.23982758620696,789.1263157894737,372.8864882032667,Immune / inflammatory
IFITM2,-353.0365698729579,2320.834482758621,2673.871052631579,353.0365698729579,Immune / inflammatory
ND6,-313.4218693284939,983.4465517241376,1296.8684210526317,313.4218693284939,Mitochondrial
B2M,-306.83379310344816,253.36620689655177,560.1999999999999,306.83379310344816,Immune / inflammatory
HLA-B,-304.37313974591643,2119.468965517241,2423.842105263158,304.37313974591643,Immune / inflammatory
S100A11,-301.8539019963704,1007.0224137931032,1308.8763157894737,301.8539019963704,Other
EEF1A1,-294.95254083484565,416.544827586207,711.4973684210527,294.95254083484565,Other
RPS27,-244.90617059891088,401.201724137931,646.1078947368419,244.90617059891088,Ribosomal
FKBP8,241.1894736842106,1154.55,913.3605263157892,241.1894736842106,Other
RPL30,-232.03348457350285,408.1086206896552,640.142105263158,232.03348457350285,Ribosomal
HLA-C,-228.9363883847548,1639.0741379310346,1868.010526315789,228.9363883847548,Immune / inflammatory
FCGR3B,-219.71621597096183,210.24431034482768,429.9605263157896,219.71621597096183,Other
ND5,-218.6696007259528,458.1672413793103,676.836842105263,218.6696007259528,Mitochondrial
RPL21,-216.5967332123412,238.61379310344827,455.2105263157895,216.5967332123412,Ribosomal
MNDA,-208.03168784029023,164.1262068965518,372.157894736842,208.03168784029023,Other
RPS12,-202.5735934664248,544.3948275862068,746.9684210526316,202.5735934664248,Ribosomal
HLA-E,-200.61560798548064,599.939655172414,800.5552631578946,200.61560798548064,Immune / inflammatory
